run,elapsed,latency,dblatency,ttype,rbk,dskipped,error
3,336686,2113,2113,NEW_ORDER,0,0,0
3,340986,4299,4299,NEW_ORDER,0,0,0
3,341268,4737,4737,NEW_ORDER,0,0,0
3,341297,28,28,PAYMENT,0,0,0
3,343146,1849,1849,NEW_ORDER,0,0,0
3,343176,29,29,PAYMENT,0,0,0
3,345499,2322,2322,NEW_ORDER,0,0,0
3,345722,223,223,STOCK_LEVEL,0,0,0
3,345726,4740,4740,NEW_ORDER,0,0,0
3,345953,231,231,ORDER_STATUS,0,0,0
3,345980,27,27,PAYMENT,0,0,0
3,345998,18,18,PAYMENT,0,0,0
3,347751,2025,2025,NEW_ORDER,0,0,0
3,347777,1779,1779,PAYMENT,0,0,0
3,347805,54,54,PAYMENT,0,0,0
3,349417,1640,1640,NEW_ORDER,0,0,0
3,351762,3957,3957,NEW_ORDER,0,0,0
3,351789,27,27,PAYMENT,0,0,0
3,351811,22,22,PAYMENT,0,0,0
3,352845,3428,3428,NEW_ORDER,0,0,0
3,353055,209,209,STOCK_LEVEL,0,0,0
3,353265,1453,1453,NEW_ORDER,0,0,0
3,353266,0,0,DELIVERY,0,0,0
3,355364,2309,2309,NEW_ORDER,0,0,0
3,357132,1768,1768,NEW_ORDER,0,0,0
3,357285,4019,4019,DELIVERY_BG,0,0,0
3,358930,1798,1798,NEW_ORDER,0,0,0
3,360300,3014,3014,NEW_ORDER,0,0,0
3,360349,49,49,PAYMENT,0,0,0
3,360375,26,26,PAYMENT,0,0,0
3,360415,39,39,PAYMENT,0,0,0
3,360415,0,0,DELIVERY,0,0,0
3,362715,3785,3785,NEW_ORDER,0,0,0
3,364320,3905,3905,DELIVERY_BG,0,0,0
3,365070,2355,2355,NEW_ORDER,0,0,0
3,365095,25,25,PAYMENT,0,0,0
3,366071,1751,1751,NEW_ORDER,0,0,0
3,366494,1399,1399,NEW_ORDER,0,0,0
3,369529,3035,3035,NEW_ORDER,0,0,0
3,370944,4873,4873,NEW_ORDER,0,0,0
3,371399,1870,1870,NEW_ORDER,0,0,0
3,373231,2287,2287,NEW_ORDER,0,0,0
3,373255,24,24,PAYMENT,0,0,0
3,373279,23,23,PAYMENT,0,0,0
3,373300,21,21,PAYMENT,0,0,0
3,375723,4323,4323,NEW_ORDER,0,0,0
3,375927,204,204,ORDER_STATUS,0,0,0
3,375953,26,26,PAYMENT,0,0,0
3,377703,4403,4403,NEW_ORDER,0,0,0
3,378318,2365,2365,NEW_ORDER,0,0,0
3,380460,2142,2142,NEW_ORDER,0,0,0
3,380734,273,273,STOCK_LEVEL,0,0,0
3,381546,3843,3843,NEW_ORDER,0,0,0
3,381575,28,28,PAYMENT,0,0,0
3,382998,1423,1423,NEW_ORDER,0,0,0
3,383198,199,199,ORDER_STATUS,0,0,0
3,384251,3517,3517,NEW_ORDER,0,0,0
3,384274,22,22,PAYMENT,0,0,0
3,384293,19,19,PAYMENT,0,0,0
3,384315,22,22,PAYMENT,0,0,0
3,384342,27,27,PAYMENT,0,0,0
3,384368,26,26,PAYMENT,0,0,0
3,384392,24,24,PAYMENT,0,0,0
3,386459,3261,3261,NEW_ORDER,0,0,0
3,386480,21,21,PAYMENT,0,0,0
3,386511,31,31,PAYMENT,0,0,0
3,386542,31,31,PAYMENT,0,0,0
3,387932,1390,1390,NEW_ORDER,0,0,0
